Date,Open,High,Low,Close,Volume,Adj Close
2016-11-01,5.68,5.70,5.10,5.54,3168800,5.54
2016-10-03,5.87,6.41,5.60,5.60,2730000,5.60
2016-09-01,5.41,5.95,5.24,5.83,3392100,5.83
2016-08-01,5.12,6.11,4.88,5.53,3097200,5.53
2016-07-01,6.21,6.39,5.07,5.23,2994400,5.23
2016-06-01,6.30,6.85,5.85,6.25,2512200,6.25
2016-05-02,6.01,6.63,5.59,6.43,2395000,6.43
2016-04-01,4.95,6.21,4.79,6.05,3469600,6.05
2016-03-01,4.82,5.85,4.76,5.12,3110400,5.12
2016-02-01,4.93,5.20,4.30,4.82,3667100,4.82
2016-01-04,6.41,6.52,4.47,5.12,7762300,5.12
2015-12-01,7.51,7.62,6.01,6.23,4094600,6.23
2015-11-02,8.59,8.95,7.48,7.52,3205100,7.52
2015-10-01,8.75,9.44,8.03,8.59,3092900,8.59
2015-09-01,8.88,9.16,8.02,8.46,3848500,8.46
2015-08-03,8.97,9.36,6.90,9.18,6571300,9.18
2015-07-01,11.82,11.82,9.11,9.17,3962200,9.17
2015-06-01,12.36,12.68,11.59,12.05,2959000,12.05
2015-05-01,12.32,13.17,11.51,12.35,3756400,12.35
2015-04-01,10.15,12.49,10.13,12.46,4575900,12.46
2015-03-02,10.93,11.59,9.24,10.05,5586200,10.05
2015-02-02,11.10,12.45,10.59,10.95,6241700,10.95
2015-01-02,12.24,12.52,9.66,10.68,4439700,10.68
2014-12-01,16.02,16.77,12.18,12.54,2304600,12.54
2014-11-03,19.68,19.84,16.15,16.209999,669300,16.209999
2014-10-01,22.58,22.860001,19.459999,19.790001,525500,19.790001
2014-09-02,23.10,23.41,22.110001,22.440001,249300,22.440001
2014-08-01,23.639999,23.950001,22.58,23.43,185200,23.43
2014-07-01,25.68,25.75,23.76,23.790001,221100,23.790001
2014-06-02,24.610001,25.959999,24.389999,25.57,251300,25.57
2014-05-01,23.620001,25.129999,23.58,24.709999,196900,24.709999
2014-04-01,23.889999,24.860001,23.360001,23.83,346300,23.83
2014-03-03,24.59,24.84,22.879999,23.98,306000,23.98
